GROUP_AC7	GROUP_AC8	GROUP_AC9	GROUP-BN1	GROUP-BN2	GROUP-BN3
ENSG00000116691.11	474	518	414	465	387	536
ENSG00000202461.1	0	0	0	0	0	0
ENSG00000276869.1	0	0	0	0	0	0
ENSG00000243539.3	0	0	0	0	0	0
ENSG00000120949.15	43	7	7	11	0	6
ENSG00000201135.1	0	0	0	0	0	0
ENSG00000227875.2	0	0	0	0	0	0
ENSG00000285604.1	0	0	0	0	0	0
ENSG00000283789.1	0	0	0	0	0	0
ENSG00000028137.19	2101	764	254	581	677	349
ENSG00000263676.1	0	0	0	0	0	0
ENSG00000225196.2	0	0	0	0	0	0
ENSG00000252969.1	0	0	0	0	0	0
ENSG00000048707.15	10567	16180	8649	8461	11451	9440
ENSG00000239149.1	77	40	39	25	31	19
ENSG00000229484.1	1	8	0	0	3	2
ENSG00000162496.9	25492	30830	12321	9309	31564	3812
ENSG00000221340.1	23	45	3	20	79	16
ENSG00000276830.1	0	12	7	8	13	5
ENSG00000272482.1	971	936	296	90	659	71
ENSG00000204518.3	19	16	6	0	7	0
ENSG00000226166.2	0	0	0	0	0	0
ENSG00000188984.12	0	0	0	0	0	0
ENSG00000157330.10	0	0	0	0	3	0
ENSG00000116726.5	0	0	0	0	0	0
ENSG00000116721.9	0	0	0	0	0	0
ENSG00000228338.1	0	0	0	0	0	0
ENSG00000239810.3	0	0	0	0	0	0
ENSG00000231103.2	0	0	0	0	0	0
ENSG00000179172.10	1	3	0	6	5	0
ENSG00000120952.4	0	0	0	0	0	0
ENSG00000243073.4	0	0	0	0	0	0
ENSG00000187545.5	0	0	0	0	0	0
ENSG00000204510.5	0	0	0	0	0	0
ENSG00000207434.1	0	0	0	0	0	0
ENSG00000234064.1	0	0	0	0	0	0
ENSG00000232423.6	0	0	0	0	0	0
ENSG00000274178.2	0	0	0	0	0	0
ENSG00000274764.6	0	0	0	0	0	0
ENSG00000277058.3	0	0	0	10	4	1
ENSG00000229571.7	0	0	0	0	0	0
ENSG00000277862.1	0	0	0	0	0	0
ENSG00000236179.1	0	0	0	0	0	0
ENSG00000275774.3	0	0	0	10	3	2
ENSG00000229978.1	0	0	0	0	0	0
ENSG00000233336.1	0	0	0	0	0	0
ENSG00000280267.4	0	0	0	0	0	0
ENSG00000179412.11	0	0	0	8	4	1
ENSG00000204505.5	0	0	0	0	0	0
ENSG00000279169.3	0	0	0	0	0	0
ENSG00000279804.2	0	0	0	0	0	0
ENSG00000250894.1	0	0	0	1	0	0
ENSG00000270601.4	0	0	0	0	0	0
ENSG00000231219.1	0	0	0	0	0	0
ENSG00000207511.1	0	0	0	0	0	0
ENSG00000182330.10	0	0	0	0	0	0
ENSG00000237700.2	0	0	0	0	0	0
ENSG00000204501.7	0	0	0	0	0	0
ENSG00000228229.2	0	0	0	0	0	0
ENSG00000204481.8	0	0	0	0	0	0
ENSG00000204480.8	0	0	0	0	0	0
ENSG00000204479.4	0	0	0	0	0	0
ENSG00000204478.10	0	0	0	0	0	0
ENSG00000162494.6	0	0	0	7	0	0
ENSG00000259961.1	0	0	0	0	0	0
ENSG00000215909.3	0	0	0	0	0	0
ENSG00000162493.17	4801	3469	7661	4134	1617	1748
ENSG00000222952.1	0	0	0	0	0	0
ENSG00000237445.2	0	0	0	0	0	0
ENSG00000253085.1	0	0	0	0	0	0
ENSG00000116731.22	4573	5055	5218	5574	7694	5147
ENSG00000189337.17	938	717	751	765	314	1134
ENSG00000252151.1	0	0	0	0	0	0
ENSG00000231606.2	0	0	0	0	0	0
ENSG00000234593.3	0	0	0	0	0	0
ENSG00000235829.1	0	0	0	0	0	0
ENSG00000287756.1	0	0	0	0	0	0
ENSG00000175147.13	120	325	198	52	78	108
ENSG00000171729.14	2257	1985	1965	1488	1641	2215
ENSG00000204464.7	0	4	0	0	0	0
ENSG00000215720.4	0	0	0	0	0	2
ENSG00000278480.1	0	0	14	3	9	9
ENSG00000142621.20	5	53	1	2	3	12
