,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,cluster,Ligand,Receptor
MFAP52,8.96E-138,1.15441006,0.449,0.207,1.62E-133,MFAP5,PI16,TRUE,FALSE
JAM21,5.93E-126,1.360761842,0.376,0.169,1.07E-121,JAM2,PI16,TRUE,TRUE
GPC31,4.30E-117,1.321756169,0.41,0.207,7.78E-113,GPC3,PI16,TRUE,FALSE
LILRB51,1.31E-104,1.194447463,0.403,0.203,2.37E-100,LILRB5,PI16,FALSE,TRUE
COL8A11,8.39E-100,1.185970273,0.436,0.252,1.52E-95,COL8A1,PI16,TRUE,FALSE
SLIT2,5.33E-97,1.259000153,0.332,0.152,9.63E-93,SLIT2,PI16,TRUE,FALSE
FAT41,7.05E-92,1.237489392,0.34,0.165,1.27E-87,FAT4,PI16,TRUE,TRUE
VSIG4,8.39E-87,1.024446958,0.43,0.254,1.52E-82,VSIG4,PI16,TRUE,TRUE
FZD41,1.90E-80,1.022537044,0.415,0.253,3.43E-76,FZD4,PI16,FALSE,TRUE
CLDN111,3.51E-80,1.225862496,0.297,0.14,6.34E-76,CLDN11,PI16,TRUE,TRUE
ITGA81,1.98E-69,1.060379929,0.363,0.212,3.58E-65,ITGA8,PI16,FALSE,TRUE
SELP1,6.20E-68,1.058345316,0.328,0.178,1.12E-63,SELP,PI16,TRUE,TRUE
EPHA31,9.72E-59,1.19690635,0.25,0.125,1.76E-54,EPHA3,PI16,FALSE,TRUE
